priority,node_pack,repo_url,primary_aiwf_folder,why_cover_it,coverage_status,research_pass,resolved_repo_url,coverage_note
B,ComfyUI-WanVideoStartEndFrames,https://github.com/raindrop313/ComfyUI-WanVideoStartEndFrames,video_modern,Wan start/end frame workflows.,needs_retry_or_stale_repo,PASS_02L_RETRY,,Repo did not resolve; native Wan FLF2V may cover the capability.
B,ComfyUI_ControlNeXt-SVD,https://github.com/kijai/ComfyUI-ControlNeXt-SVD,video_modern,ControlNeXt SVD; mostly legacy/experimental.,needs_retry_or_stale_repo,PASS_02L_RETRY,,Repo did not resolve; likely legacy/experimental.
B,Steerable Motion,https://github.com/banodoco/steerable-motion,animation,Batch creative interpolation; animation teaching value.,covered_light,PASS_02M,https://github.com/banodoco/Steerable-Motion,"Good animation teaching concept, but it bundles/imports other node code and should not be a default workflow foundation."
B,FizzNodes,https://github.com/FizzleDorf/ComfyUI_FizzNodes,animation,Scheduled prompts and parameter curves; classic animation nodes.,covered_light,PASS_02M,https://github.com/FizzleDorf/ComfyUI_FizzNodes,"High value for old animation workflows; teach conceptually, but prefer simpler modern parameter controls in beginner graphs."
B,RyanOnTheInside,https://github.com/ryanontheinside/ComfyUI_RyanOnTheInside,animation / audio-reactive,"Particle simulation, optical flow, audio reactivity, temporal masks.",covered_light,PASS_02M,https://github.com/ryanontheinside/ComfyUI_RyanOnTheInside,Very high-value advanced pack; deserves a later dense pass if AIWF builds audio-reactive or temporal-mask chapters.
B,Jovimetrix,https://github.com/Amorano/Jovimetrix,animation / realtime,"Webcam, MIDI, Spout, GLSL, animation ticks; advanced live workflows.",covered_light,PASS_02M,https://github.com/Amorano/Jovimetrix,Great conceptual/reference pack; not a beginner workflow default because it is broad and loader-driven.
B,Deforum Nodes,https://github.com/XmYx/deforum-comfy-nodes,animation,Deforum-style frame-by-frame generative motion.,covered_light,PASS_02M,https://github.com/XmYx/deforum-comfy-nodes,"Useful for red-node repair and historical animation workflows, not modern default."
B,Depthflow Nodes,https://github.com/akatz-ai/ComfyUI-Depthflow-Nodes,animation / video,2.5D parallax effects.,covered_light,PASS_02M,https://github.com/akatz-ai/ComfyUI-Depthflow-Nodes,Useful for non-diffusion motion effects; pairs conceptually with depth estimation nodes.
B,DepthCrafter Nodes,https://github.com/akatz-ai/ComfyUI-DepthCrafter-Nodes,video_modern / control,Consistent depth maps for videos.,covered_light,PASS_02M,https://github.com/akatz-ai/ComfyUI-DepthCrafter-Nodes,Important first-of-type video-depth node; dense pass recommended before any workflow JSON.
B,ComfyUI-MotionDiff,https://github.com/Fannovel16/ComfyUI-MotionDiff,animation,Motion diffusion; likely specialized/legacy.,covered_light,PASS_02M,https://github.com/Fannovel16/ComfyUI-MotionDiff,Motion data is valuable conceptually but not a clean AIWF beginner path.
B,ComfyUI-MimicMotionWrapper,https://github.com/kijai/ComfyUI-MimicMotionWrapper,animation / pose,MimicMotion wrapper.,covered_light,PASS_02M,https://github.com/kijai/ComfyUI-MimicMotionWrapper,Better-maintained alternate to simpler AIFSH wrapper; dense pass if building pose-animation workflows.
B,ComfyUI-MimicMotion,https://github.com/AIFSH/ComfyUI-MimicMotion,animation / pose,Alternate MimicMotion implementation.,covered_light,PASS_02M,https://github.com/AIFSH/ComfyUI-MimicMotion,Simpler but more side-effect-heavy than Kijai wrapper; good red-node repair knowledge.
B,ComfyUI-AnimateAnyone-Evolved,https://github.com/MrForExample/ComfyUI-AnimateAnyone-Evolved,animation / pose,Pose image-sequence to stylized video.,covered_light,PASS_02M,https://github.com/MrForExample/ComfyUI-AnimateAnyone-Evolved,Good compatibility target; Wan/MimicMotion/LivePortrait are likely better modern first choices.
B,Comfyui-MusePose,https://github.com/TMElyralab/Comfyui-MusePose,animation / pose,Pose-controlled virtual human image-to-video.,covered_light,PASS_02M,https://github.com/TMElyralab/Comfyui-MusePose,Important alternate pose-animation pack; dense review only if it beats MimicMotion/LivePortrait for a workflow need.
B,ComfyUI-MagicAnimate,https://github.com/thecooltechguy/ComfyUI-MagicAnimate,animation,MagicAnimate integration.,covered_light,PASS_02M,https://github.com/thecooltechguy/ComfyUI-MagicAnimate,Good old-workflow coverage; not modern default.
B,ComfyUI-ToonCrafter,https://github.com/AIGODLIKE/ComfyUI-ToonCrafter,animation,ToonCrafter interpolation/cartoon motion.,covered_light,PASS_02M,https://github.com/AIGODLIKE/ComfyUI-ToonCrafter,Useful comparison path for stylized interpolation; not native modern default.
B,ComfyUI-HelloMeme,https://github.com/HelloVision/ComfyUI_HelloMeme,animation / face,Meme/portrait video generation.,covered_light,PASS_02M,https://github.com/HelloVision/ComfyUI_HelloMeme,Covered as repo/source hit only; do not generate workflows until dense pass.
B,ComfyUI-Sonic,https://github.com/smthemex/ComfyUI_Sonic,animation / audio,Audio-perception-driven portrait animation.,covered_light,PASS_02M,https://github.com/smthemex/ComfyUI_Sonic,High-value talking-head pack; dense pass only if AIWF adds audio-driven animation workflows.
B,ComfyUI_EchoMimic,https://github.com/smthemex/ComfyUI_EchoMimic,animation / audio,Talking head/audio mimic workflows.,covered_light,PASS_02M,https://github.com/smthemex/ComfyUI_EchoMimic,Covered as source hit only. Keep below Sonic/LivePortrait unless needed for old workflows.
B,ComfyUI-LatentSyncWrapper,https://github.com/ShmuelRonen/ComfyUI-LatentSyncWrapper,animation / audio,ByteDance LatentSync lip sync.,covered_light,PASS_02M,https://github.com/ShmuelRonen/ComfyUI-LatentSyncWrapper,Powerful but side-effect-heavy; needs isolated venv/testing before recommending.
B,ComfyUI-MuseTalk,https://github.com/chaojie/ComfyUI-MuseTalk,animation / audio,MuseTalk lip sync.,covered_light,PASS_02M,https://github.com/chaojie/ComfyUI-MuseTalk,Repo resolved; Kijai MuseTalk-KJ also exists and may be better for later dense review.
B,ComfyUI-Hallo,https://github.com/AIFSH/ComfyUI-Hallo,animation / audio,Hallo talking portrait.,needs_retry_or_stale_repo,PASS_02M_RETRY,https://github.com/AIFSH/ComfyUI-Hallo,Do not count as covered; retry with alternate owner/fork if user encounters red nodes.
B,DeepFuze,https://github.com/SamKhoze/ComfyUI-DeepFuze,animation / face / audio,Face transformation/lipsync/video/voice cloning umbrella; dependency-heavy.,covered_light,PASS_02M,https://github.com/SamKhoze/ComfyUI-DeepFuze,Covered only as source hit; keep warning-only until dense review and safety/licensing check.
B,ComfyUI-TeaCache,https://github.com/welltop-cn/ComfyUI-TeaCache,flux_advanced / video_modern,Inference acceleration cache for Flux/video-style models.,covered_light,PASS_02M,https://github.com/welltop-cn/ComfyUI-TeaCache,Important 2026 acceleration concept; dense pass needed before recommending settings.
B,ComfyUI-MagCache,https://github.com/Zehong-Ma/ComfyUI-MagCache,flux_advanced / video_modern,Official MagCache acceleration.,covered_light,PASS_02M,https://github.com/Zehong-Ma/ComfyUI-MagCache,Important acceleration concept; dense pass needed before AIWF suggests it in performance workflows.
B,ComfyUI-Lightning,https://github.com/shenduldh/ComfyUI-Lightning,flux_advanced,Fast Flux inference.,needs_retry_or_stale_repo,PASS_02N,https://github.com/shenduldh/ComfyUI-Lightning,Keep in retry ledger; do not teach or generate until repo is source-verified.
B,ComfyUI-FluxExt-MZ,https://github.com/MinusZoneAI/ComfyUI-FluxExt-MZ,flux_advanced,Flux partial load patch; low-VRAM workflows.,covered_light,PASS_02N,https://github.com/MinusZoneAI/ComfyUI-FluxExt-MZ,High-value Flux-specific extension; keep advanced/local-test only.
B,ComfyUI-Kolors-MZ,https://github.com/MinusZoneAI/ComfyUI-Kolors-MZ,image_basics / modern models,Kolors model support.,covered_light,PASS_02N,https://github.com/MinusZoneAI/ComfyUI-Kolors-MZ,"Useful for Kolors-specific workflows, not AIWF default."
B,ComfyUI-KwaiKolorsWrapper,https://github.com/kijai/ComfyUI-KwaiKolorsWrapper,image_basics / modern models,Kijai Kolors wrapper.,covered_light,PASS_02N,https://github.com/kijai/ComfyUI-KwaiKolorsWrapper,Prefer source-verified Kijai wrapper if user actually needs Kolors.
B,ComfyUI-ExtraModels,https://github.com/city96/ComfyUI_ExtraModels,image_basics / modern models,Misc model-family support; often seen in old/experimental workflows.,covered_light,PASS_02N,https://github.com/city96/ComfyUI_ExtraModels,RAG compatibility pack; not a default workflow foundation.
B,ComfyUI_DiT,https://github.com/city96/ComfyUI_DiT,flux_advanced / modern models,"DiT testbed; likely WIP, document risk.",needs_retry_or_stale_repo,PASS_02N,https://github.com/city96/ComfyUI_DiT,Keep as stale/retry entry.
B,ComfyUI-Scepter,https://github.com/modelscope/scepter,image_basics / editing,Visual generation/editing tasks via Scepter.,needs_retry_or_stale_repo,PASS_02N,https://github.com/modelscope/scepter,May be a broader project rather than a direct ComfyUI node pack; retry with exact custom-node path.
B,ComfyUI-ACE_Plus,https://github.com/ali-vilab/ACE_plus,image_advanced_inpaint / editing,ACE Plus editing tasks.,covered_alternate,PASS_02N,https://github.com/linhoi/ComfyUI-ACE_Plus,Original listed repo path was not source-verified; active ComfyUI wrappers exist.
B,ICEdit-ComfyUI-official,https://github.com/hayd-zju/ICEdit-ComfyUI-official,image_advanced_inpaint / editing,Official ICEdit workflow support.,covered_light,PASS_02N,https://github.com/hayd-zju/ICEdit-ComfyUI-official,High-value modern editing pack; schedule dense pass before workflow JSON.
B,ComfyUI-easycontrol,https://github.com/jax-explorer/ComfyUI-easycontrol,flux_advanced / control,EasyControl model usage.,needs_retry_or_stale_repo,PASS_02N,https://github.com/jax-explorer/ComfyUI-easycontrol,Keep on retry ledger.
B,ControlNet-LLLite-ComfyUI,https://github.com/kohya-ss/ControlNet-LLLite-ComfyUI,flux_advanced / control,ControlNet-LLLite loader.,covered_light,PASS_02N,https://github.com/kohya-ss/ControlNet-LLLite-ComfyUI,Important control compatibility pack; not a default until exact schemas are swept.
B,ComfyUI_omost,https://github.com/huchenlei/ComfyUI_omost,flux_advanced / regional,Omost regional prompt implementation.,covered_light,PASS_02N,https://github.com/huchenlei/ComfyUI_omost,"High-level composition/regional prompt system; useful for RAG, advanced local-test."
B,RES4LYF,https://github.com/ClownsharkBatwing/RES4LYF,flux_advanced / samplers,Advanced samplers/noise/unsampling/RF-inversion/regional conditioning; very powerful but complex.,covered_light_needs_dense,PASS_02N,https://github.com/ClownsharkBatwing/RES4LYF,Very powerful and complex; dense pass required before any recommendations.
B,ComfyUI-ppm,https://github.com/pamparamm/ComfyUI-ppm,flux_advanced / samplers,"AttentionCouple, NegPip, CFG++/SMEA samplers.",covered_light,PASS_02N,https://github.com/pamparamm/ComfyUI-ppm,High-value but advanced; treat as RAG-first.
B,sd-perturbed-attention,https://github.com/pamparamm/sd-perturbed-attention,flux_advanced / samplers,Perturbed-Attention Guidance and related guidance methods.,covered_light,PASS_02N,https://github.com/pamparamm/sd-perturbed-attention,Important guidance family; dense before settings advice.
B,ComfyUI-Detail-Daemon,https://github.com/Jonseed/ComfyUI-Detail-Daemon,flux_advanced / quality,Sigma/detail control.,covered_light,PASS_02L,,Sampler/sigma control nodes schema-confirmed; advanced/local-test only.
B,Dynamic Thresholding,https://github.com/mcmonkeyprojects/sd-dynamic-thresholding,image_basics / flux_advanced,Dynamic CFG/thresholding; may help high CFG workflows.,needs_retry_or_stale_repo,PASS_02N,https://github.com/mcmonkeyprojects/sd-dynamic-thresholding,Functionality important but source not verified this pass.
B,ComfyUI-AutomaticCFG,https://github.com/Extraltodeus/ComfyUI-AutomaticCFG,flux_advanced / samplers,Self-rescaling CFG.,covered_light,PASS_02N,https://github.com/Extraltodeus/ComfyUI-AutomaticCFG,High-value guidance pack; use only after dense settings pass.
B,Skimmed_CFG,https://github.com/Extraltodeus/Skimmed_CFG,flux_advanced / samplers,Anti-burn for high CFG.,needs_retry_or_stale_repo,PASS_02N,https://github.com/Extraltodeus/Skimmed_CFG,Keep as retry.
B,Euler-Smea-Dyn-Sampler,https://github.com/Koishi-Star/Euler-Smea-Dyn-Sampler,flux_advanced / samplers,Adds sampler behavior directly to KSampler.,needs_retry_or_stale_repo,PASS_02N,https://github.com/Koishi-Star/Euler-Smea-Dyn-Sampler,Keep as retry.
B,ComfyUI-ConDelta,https://github.com/envy-ai/ComfyUI-ConDelta,flux_advanced / conditioning,Conditioning manipulation.,covered_light,PASS_02N,https://github.com/envy-ai/ComfyUI-ConDelta,Advanced conditioning utility; not default.
B,Advanced Reflux control,https://github.com/kaibioinfo/ComfyUI_AdvancedRefluxControl,flux_advanced / Redux,Redux style/content conditioning control.,covered_light,PASS_02N,https://github.com/kaibioinfo/ComfyUI_AdvancedRefluxControl,"Useful for Flux Redux-style workflows, advanced only."
B,Comfyui_Flux_Style_Adjust,https://github.com/yichengup/Comfyui_Flux_Style_Adjust,flux_advanced / Redux,StyleModelApply controls.,needs_retry_or_stale_repo,PASS_02N,https://github.com/yichengup/Comfyui_Flux_Style_Adjust,Keep as retry.
B,ComfyUI-Flux-Continuum,https://github.com/robertvoy/ComfyUI-Flux-Continuum,flux_advanced / UI,Modular Flux interface controls; useful but interface-specific.,needs_retry_or_stale_repo,PASS_02N,https://github.com/robertvoy/ComfyUI-Flux-Continuum,Keep as retry.
B,Flux Prompt Generator for ComfyUI,https://github.com/fairy-root/Flux-Prompt-Generator,flux_advanced / prompting,Prompt generation tuned for Flux.,covered_light,PASS_02N,https://github.com/fairy-root/Flux-Prompt-Generator,Useful helper but should not replace teaching prompt mechanics.
C,ComfyUI-Florence2,https://github.com/kijai/ComfyUI-Florence2,utility / VQA / captions,"Florence2 VLM tasks: object detection, captioning, segmentation, OCR.",remaining,,,
C,VLM_nodes,https://github.com/gokayfem/ComfyUI_VLM_nodes,utility / VQA / captions,VLM/LLM image captioning and prompt generation.,remaining,,,
C,JoyCaptionAlpha Two for ComfyUI,https://github.com/EvilBT/ComfyUI_SLK_joy_caption_two,utility / captions,JoyCaption Two nodes; useful for image datasets.,remaining,,,
C,Comfyui_JC2,https://github.com/TTPlanetPig/Comfyui_JC2,utility / captions,"Joy Caption alpha 2 wrapper, low-VRAM notes.",remaining,,,
C,ComfyUI WD 1.4 Tagger,https://github.com/pythongosssss/ComfyUI-WD14-Tagger,utility / captions,Booru tagger; useful for training/dataset prep.,remaining,,,
C,ComfyUI-Miaoshouai-Tagger,https://github.com/miaoshouai/ComfyUI-Miaoshouai-Tagger,utility / captions,Florence2 VLM image tagging/captioning.,remaining,,,
C,IF_AI_tools,https://github.com/if-ai/ComfyUI-IF_AI_tools,utility / LLM,Ollama-backed VL/prompt tools; evaluate for AIWF local assistant.,remaining,,,
C,ComfyUI Ollama,https://github.com/stavsap/comfyui-ollama,utility / LLM,Ollama API calls inside ComfyUI.,remaining,,,
C,comfyui_LLM_party,https://github.com/heshengtao/comfyui_LLM_party,utility / agents,LLM agent workflows inside ComfyUI.,remaining,,,
C,ComfyUI AnyNode,https://github.com/lks-ai/anynode,utility / agents,"LLM-generated functional nodes; high power, high risk.",remaining,,,
C,NodeGPT,https://github.com/xXAdonesXx/NodeGPT,utility / agents,AutoGen inside ComfyUI; under development.,remaining,,,
C,ComfyUI Griptape Nodes,https://github.com/griptape-ai/ComfyUI-Griptape,utility / agents,Griptape framework integration.,remaining,,,
C,ComfyUI-Gemini-API,https://github.com/CY-CHENYUE/ComfyUI-Gemini-API,utility / VLM,Gemini API integration.,remaining,,,
C,ComfyUI-Gemini_Flash_2.0_Exp,https://github.com/ShmuelRonen/ComfyUI-Gemini_Flash_2.0_Exp,utility / VLM,Gemini Flash multimodal analysis nodes.,remaining,,,
C,ComfyUI-Qwen-VL-API,https://github.com/ZHO-ZHO-ZHO/ComfyUI-Qwen-VL-API,utility / VLM,Qwen-VL API nodes.,remaining,,,
C,ComfyUI-Janus-Pro,https://github.com/CY-CHENYUE/ComfyUI-Janus-Pro,utility / multimodal,Janus-Pro multimodal understanding/generation.,remaining,,,
C,Phi-3-mini in ComfyUI,https://github.com/ZHO-ZHO-ZHO/ComfyUI-Phi-3-mini,utility / LLM,Local small LLM chat nodes; probably specialized.,remaining,,,
C,WAS LMStudio Easy-Query,https://github.com/WASasquatch/ComfyUI_LMStudio_EasyQuery,utility / LLM,LM Studio calls with image support.,remaining,,,
C,Bjornulf_custom_nodes,https://github.com/justUmen/Bjornulf_custom_nodes,utility / LLM / misc,"Ollama, image utility, random prompt helpers.",remaining,,,
C,ComfyUI-3D-Pack,https://github.com/MrForExample/ComfyUI-3D-Pack,future_3d,Major 3D generation pack; not first modern tier but likely future chapter.,remaining,,,
C,ComfyUI-Flowty-TripoSR,https://github.com/flowtyone/ComfyUI-Flowty-TripoSR,future_3d,TripoSR from ComfyUI.,remaining,,,
C,Tripo for ComfyUI,https://github.com/VAST-AI-Research/ComfyUI-Tripo,future_3d,Tripo API/service node; text/image to 3D.,remaining,,,
C,IF_Trellis,https://github.com/if-ai/ComfyUI-IF_Trellis,future_3d,Trellis 3D mesh from images.,remaining,,,
C,ComfyUI_PHRenderFormerWrapper,https://github.com/paulh4x/ComfyUI_PHRenderFormerWrapper,future_3d,RenderFormer 3D environment wrapper.,remaining,,,
C,ComfyUI-Blender,https://github.com/alexisrolland/ComfyUI-Blender,future_3d / external,Blender plugin bridge to ComfyUI server.,remaining,,,
C,Avatar Graph,https://github.com/avatechai/avatar-graph-comfyui,future_3d / rigging,Character rig/avatar graph workflows.,remaining,,,
C,ComfyUI 3D Pose Editor,https://github.com/hinablue/ComfyUI_3dPoseEditor,image_advanced_control,3D pose editor; useful if OpenPose control labs expand.,remaining,,,
C,OpenPose Editor,https://github.com/space-nuko/ComfyUI-OpenPose-Editor,image_advanced_control,OpenPose editing; may require patch/legacy concerns.,remaining,,,
C,Clothing Migration Kit,https://github.com/TTPlanetPig/Comfyui_Object_Migration,image_advanced_inpaint / clothing,Object/character/clothing consistency experiments.,remaining,,,
C,ComfyUI-IDM-VTON,https://github.com/TemryL/ComfyUI-IDM-VTON,clothing / try-on,Virtual try-on; WIP.,remaining,,,
C,ComfyUI_CatVTON_Wrapper,https://github.com/chflame163/ComfyUI_CatVTON_Wrapper,clothing / try-on,CatVTON wrapper.,remaining,,,
C,ComfyUI_MagicClothing,https://github.com/frankchieng/ComfyUI_MagicClothing,clothing / try-on,Garment + prompt workflows.,remaining,,,
C,ComfyUI OOTDiffusion,https://github.com/AuroBit/ComfyUI-OOTDiffusion,clothing / try-on,OOTDiffusion try-on integration.,remaining,,,
C,ComfyUI_Seg_VITON,https://github.com/StartHua/ComfyUI_Seg_VITON,clothing / try-on,Clothing segmentation and virtual try-on nodes.,remaining,,,
C,ComfyUI-MVAdapter,https://github.com/huanngzh/ComfyUI-MVAdapter,future_3d / multiview,Multi-view consistent image generation.,remaining,,,
C,Jags_Audiotools,https://github.com/jags111/ComfyUI_Jags_Audiotools,future_audio,Audio generation tools.,remaining,,,
C,ComfyUI Stable Audio Open 1.0 Sampler,https://github.com/lks-ai/ComfyUI-StableAudioSampler,future_audio,Stable Audio Open sampler.,remaining,,,
C,audio-separation-nodes-comfyui,https://github.com/christian-byrne/audio-separation-nodes-comfyui,future_audio / animation,Stem separation and audio processing.,remaining,,,
C,ComfyUI-GPT_SoVITS,https://github.com/AIFSH/ComfyUI-GPT_SoVITS,future_audio,Voice cloning / TTS.,remaining,,,
C,CosyVoice-ComfyUI,https://github.com/AIFSH/CosyVoice-ComfyUI,future_audio,CosyVoice TTS.,remaining,,,
C,ComfyUI F5-TTS,https://github.com/niknah/ComfyUI-F5-TTS,future_audio,F5-TTS support.,remaining,,,
C,ComfyUI-Index-TTS,https://github.com/chenpipi0807/ComfyUI-Index-TTS,future_audio,Industrial-grade zero-shot TTS.,remaining,,,
C,ComfyUI-Mana-Nodes,https://github.com/ForeignGods/ComfyUI-Mana-Nodes,future_audio,"Font animation, speech recognition, caption generator, TTS.",remaining,,,
C,ComfyUI_Yvann-Nodes,https://github.com/yvann-ba/ComfyUI_Yvann-Nodes,animation / audio-reactive,Audio-reactive masks/weights for animation.,remaining,,,
C,ComfyUI Web Viewer,https://github.com/VrchStudio/comfyui-web-viewer,animation / interactive,"Realtime interactive art framework, OSC/sound input.",remaining,,,
C,ComfyUI to Python Extension,https://github.com/pydn/ComfyUI-to-Python-Extension,deployment / scripting,Converts workflows to Python; useful for Gradio/app export ideas.,remaining,,,
C,ComfyUI Deploy,https://github.com/BennyKok/comfyui-deploy,deployment,Deployment platform for Comfy workflows.,remaining,,,
C,ComfyUI Nodes for External Tooling,https://github.com/Acly/comfyui-tooling-nodes,deployment / API,Server API extensions for ComfyUI as backend.,remaining,,,
C,ComfyUI-HTTP,https://github.com/wawahuy/ComfyUI-HTTP,deployment / API,REST API nodes inside workflows.,remaining,,,
C,ComfyUI_NetDist,https://github.com/city96/ComfyUI_NetDist,deployment / multi-GPU,Distributed local/network machines.,remaining,,,
C,ComfyUI-MultiGPU,https://github.com/pollockjj/ComfyUI-MultiGPU,deployment / multi-GPU,CUDA device selection and model component placement.,remaining,,,
C,TensorRT Node for ComfyUI,https://github.com/comfyanonymous/ComfyUI_TensorRT,deployment / performance,NVIDIA TensorRT acceleration; specialized install.,remaining,,,
C,ComfyUI-Replicate,https://github.com/replicate/comfyui-replicate,cloud / API,Run Replicate models inside ComfyUI.,remaining,,,
C,Comfy Cloud,https://github.com/nathannlu/ComfyUI-Cloud,cloud,Cloud GPU workflow execution.,remaining,,,
C,BizyAir Nodes,https://github.com/siliconflow/BizyAir,cloud,Comfy nodes that can run in any environment.,remaining,,,
C,Stability API nodes for ComfyUI,https://github.com/Stability-AI/ComfyUI-SAI_API,cloud / API,Stability API nodes; needs API-key docs and model limits.,remaining,,,
C,NVIDIA FLUX NIM,https://github.com/Comfy-Org/NIMnodes,cloud / API,NVIDIA NIM Flux integration.,remaining,,,
C,LumaAI API,https://github.com/lumalabs/ComfyUI-LumaAI-API,cloud / video,Luma Dream Machine API node.,remaining,,,
C,Comfy-Photoshop-SD,https://github.com/AbdullahAlfaraj/Comfy-Photoshop-SD,external / Photoshop,Photoshop + Comfy integration and metadata helpers.,remaining,,,
C,comfyui-photoshop,https://github.com/NimaNzrii/comfyui-photoshop,external / Photoshop,Photoshop bridge.,remaining,,,
C,SD-PPP,https://github.com/zombieyang/sd-ppp,external / Photoshop,WebUI-like simplification and Photoshop connection.,remaining,,,
C,comfyui-Blender,https://github.com/alexisrolland/ComfyUI-Blender,external / Blender,Blender bridge.,remaining,,,
D,ComfyUI Cutoff,https://github.com/BlenderNeko/ComfyUI_Cutoff,Prompt-control niche; may overlap with newer prompt systems.,,remaining,,,
D,Advanced CLIP Text Encode,https://github.com/BlenderNeko/ComfyUI_ADV_CLIP_emb,Useful for A1111-like prompt weighting; maybe needed for workflow compatibility.,,remaining,,,
D,smZNodes,https://github.com/shiimizu/ComfyUI_smZNodes,A1111-like CLIP embeddings; compatibility research.,,remaining,,,
D,TIPO-extension,https://github.com/KohakuBlueleaf/z-tipo-extension,Text presampling for anime/tag generation; specialized.,,remaining,,,
D,ResAdapter for ComfyUI,https://github.com/jiaxiangc/ComfyUI-ResAdapter,Specific model adapter support.,,remaining,,,
D,StyleAligned for ComfyUI,https://github.com/brianfitzgerald/style_aligned_comfy,Batch style consistency; useful but narrow.,,remaining,,,
D,ComfyUI_VisualStylePrompting,https://github.com/ExponentialML/ComfyUI_VisualStylePrompting,Style prompting; research if style labs expand.,,remaining,,,
D,ComfyUI-layerdiffuse,https://github.com/huchenlei/ComfyUI-layerdiffuse,Transparent image generation/layers; advanced compositing.,,remaining,,,
D,ComfyUI-IC-Light,https://github.com/kijai/ComfyUI-IC-Light,Relighting; compare with native/other IC-Light paths.,,remaining,,,
D,ComfyUI-IC-Light-Native,https://github.com/huchenlei/ComfyUI-IC-Light-Native,Native IC-Light implementation; useful for relighting chapter.,,remaining,,,
D,ComfyUI-LBMWrapper,https://github.com/kijai/ComfyUI-LBMWrapper,Latent Bridge Matching; specialized/experimental.,,remaining,,,
D,ComfyUI-MochiEdit,https://github.com/logtd/ComfyUI-MochiEdit,Genmo Mochi video editing; model-specific.,,remaining,,,
D,ComfyUI-LuminaWrapper,https://github.com/kijai/ComfyUI-LuminaWrapper,Lumina model wrapper; not core AIWF path yet.,,remaining,,,
D,ComfyUI-Kolors-MZ,https://github.com/MinusZoneAI/ComfyUI-Kolors-MZ,Useful if Kolors gets an AIWF chapter.,,covered_light,PASS_02N,https://github.com/MinusZoneAI/ComfyUI-Kolors-MZ,"Useful for Kolors-specific workflows, not AIWF default."
D,ComfyUI_StoryDiffusion,https://github.com/smthemex/ComfyUI_StoryDiffusion,Story/consistent character workflows; may matter later.,,remaining,,,
D,ComfyUI-Hallo,https://github.com/AIFSH/ComfyUI-Hallo,Talking head; one of many overlapping packs.,,needs_retry_or_stale_repo,PASS_02M_RETRY,https://github.com/AIFSH/ComfyUI-Hallo,Do not count as covered; retry with alternate owner/fork if user encounters red nodes.
D,ComfyUI_EchoMimic,https://github.com/smthemex/ComfyUI_EchoMimic,Talking head; dependency-heavy.,,covered_light,PASS_02M,https://github.com/smthemex/ComfyUI_EchoMimic,Covered as source hit only. Keep below Sonic/LivePortrait unless needed for old workflows.
D,ComfyUI_FLOAT,https://github.com/yuvraj108c/ComfyUI-FLOAT,Talking portrait; specialized.,,remaining,,,
D,ComfyUI-AniPortrait,https://github.com/chaojie/ComfyUI-AniPortrait,Talking portrait; specialized.,,remaining,,,
D,ComfyUI-Moore-AnimateAnyone,https://github.com/chaojie/ComfyUI-Moore-AnimateAnyone,Overlaps AnimateAnyone.,,remaining,,,
D,ComfyUI-DragNUWA,https://github.com/chaojie/ComfyUI-DragNUWA,Older/SVD-specific and external drive model dependency.,,remaining,,,
D,ComfyUI-Stable-Video-Diffusion,https://github.com/thecooltechguy/ComfyUI-Stable-Video-Diffusion,"SVD is useful foundation/legacy, but not main 2026 video tier.",,remaining,,,
D,AnimateDiff,https://github.com/SipherAGI/comfyui-animatediff,Prefer AnimateDiff Evolved unless workflow specifically needs this fork.,,remaining,,,
D,LCM_Inpaint-Outpaint_Comfy,https://github.com/taabata/LCM_Inpaint_Outpaint_Comfy,LCM-specific older inpaint/outpaint; likely not modern-core.,,remaining,,,
D,Latent Consistency Model for ComfyUI,https://github.com/0xbitches/ComfyUI-LCM,LCM sampler support; mostly legacy.,,remaining,,,
D,BrushNet,https://github.com/nullquant/ComfyUI-BrushNet,Important for inpaint alternatives; research after Acly/CropStitch.,,remaining,,,
D,LanPaint,https://github.com/scraed/LanPaint,Seamless inpainting without specialized model; evaluate after core inpaint.,,remaining,,,
D,ComfyUI-ELLA,https://github.com/TencentQQGYLab/ComfyUI-ELLA,Prompt/fusion model-specific.,,remaining,,,
D,ComfyUI-OmniGen,https://github.com/1038lab/ComfyUI-OmniGen,OmniGen support; track.,,remaining,,,
D,OmniGen-ComfyUI,https://github.com/AIFSH/OmniGen-ComfyUI,Alternate OmniGen implementation.,,remaining,,,
D,ComfyUI-PMRF,https://github.com/2kpr/ComfyUI-PMRF,Model-specific.,,remaining,,,
D,ComfyUI-UltraPixel,https://github.com/2kpr/ComfyUI-UltraPixel,Model-specific.,,remaining,,,
D,ComfyUI-DepthAnythingV2,https://github.com/kijai/ComfyUI-DepthAnythingV2,Important if ControlNet Aux depth is not enough.,,remaining,,,
D,ComfyUI-Marigold,https://github.com/kijai/ComfyUI-Marigold,Depth estimation; useful for control/video.,,remaining,,,
D,ComfyUI-Depth-Pro,https://github.com/spacepxl/ComfyUI-Depth-Pro,Apple Depth Pro wrapper; specialized.,,remaining,,,
D,Anyline,https://github.com/TheMistoAI/ComfyUI-Anyline,Line detection preprocessor; useful if ControlNet Aux lineart not enough.,,remaining,,,
D,ComfyUI PixelArt Detector,https://github.com/dimtoneff/ComfyUI-PixelArt-Detector,Pixel art workflow niche.,,remaining,,,
D,Seamless tiling Node for ComfyUI,https://github.com/spinagon/ComfyUI-seamless-tiling,Texture workflows only.,,remaining,,,
